School,Enrollment,Year
Windham Technical High School,18,2011-12
Yale University,13697,2011-12
Yale-New Haven Hospital Dietetic Internship,12,2011-12
Academy Di Capelli-School of Cosmetology,77,2012-13
Ace Cosmetology and Barber Training Center,9,2012-13
Albert I Prince Technical High School,63,2012-13
Albertus Magnus College,1813,2012-13
Asnuntuck Community College,1048,2012-13
Belle Academy of Cosmetology,2,2012-13
Branford Academy of Hair and Cosmetology,92,2012-13
Branford Hall Career Institute,901,2012-13
Branford Hall Career Institute,949,2012-13
Branford Hall Career Institute,714,2012-13
Bridgeport Hospital School of Nursing,141,2012-13
Bristol Technical Education Center,51,2012-13
Bullard-Havens Technical High School,14,2012-13
Capital Community College,2609,2012-13
Central Connecticut State University,9989,2012-13
Charter Oak State College,917,2012-13
Connecticut Center for Massage Therapy,86,2012-13
Connecticut Center for Massage Therapy,241,2012-13
Connecticut Center for Massage Therapy,257,2012-13
Connecticut College,2068,2012-13
Connecticut Institute of Hair Design,47,2012-13
Eastern Connecticut State University,4985,2012-13
Eli Whitney Technical High School,53,2012-13
European Academy of Cosmetology and Hairdressing,36,2012-13
Fairfield University,4694,2012-13
Fox Institute of Business-West Hartford,307,2012-13
Gateway Community College,4672,2012-13
Goodwin College,3017,2012-13
Hartford Seminary,73,2012-13
Holy Apostles College and Seminary,333,2012-13
Housatonic Community College,3677,2012-13
Howell Cheney Technical High School,66,2012-13
Industrial Management Training Institute,125,2012-13
International Institute of Cosmetology,132,2012-13
Lincoln College of New England-Southington,815,2012-13
Lincoln Technical Institute,893,2012-13
Lincoln Technical Institute,436,2012-13
Lincoln Technical Institute,534,2012-13
Lincoln Technical Institute,617,2012-13
Lyme Academy College of Fine Arts,64,2012-13
Manchester Community College,4667,2012-13
Marinello Schools of Beauty,177,2012-13
Marinello Schools of Beauty,616,2012-13
Marinello Schools of Beauty,344,2012-13
Middlesex Community College,1813,2012-13
Mitchell College,813,2012-13
Naugatuck Valley Community College,4491,2012-13
New England Tractor Trailer Training School of Connecticut,337,2012-13
New England Tractor Trailer Training School of Connecticut,365,2012-13
Northwestern Connecticut Community College,837,2012-13
Norwalk Community College,4085,2012-13
Norwich Technical High School,50,2012-13
Oxford Academy of Hair Design Inc,119,2012-13
Paier College of Art Inc,159,2012-13
Paul Mitchell the School,135,2012-13
Paul Mitchell the School,166,2012-13
Platt Technical High School,18,2012-13
Porter and Chester Institute,326,2012-13
Porter and Chester Institute,2822,2012-13
Post University,5808,2012-13
Quinebaug Valley Community College,1178,2012-13
Quinnipiac University,8553,2012-13
Rensselaer Hartford Graduate Center Inc,140,2012-13
Ricci's Academy of Cosmetology,NA,2012-13
Ridley-Lowell Business & Technical Institute,317,2012-13
Ridley-Lowell Business & Technical Institute,280,2012-13
Sacred Heart University,5945,2012-13
Southern Connecticut State University,8708,2012-13
St Vincent's College,530,2012-13
Stone Academy,283,2012-13
Stone Academy,404,2012-13
Stone Academy,224,2012-13
Three Rivers Community College,2897,2012-13
Trinity College,2356,2012-13
Tunxis Community College,2787,2012-13
University of Bridgeport,3979,2012-13
University of Connecticut,23517,2012-13
University of Connecticut,657,2012-13
University of Connecticut,1140,2012-13
University of Connecticut,2250,2012-13
University of Hartford,6581,2012-13
University of New Haven,6205,2012-13
University of Phoenix-Connecticut,28,2012-13
University of Saint Joseph,1943,2012-13
Vinal Technical High School,57,2012-13
W F Kaynor Technical High School,53,2012-13
Wesleyan University,3310,2012-13
Western Connecticut State University,5389,2012-13
Windham Memorial Hospital-Radiologic Technology Program,20,2012-13
Windham Technical High School,16,2012-13
Yale University,13550,2012-13
Yale-New Haven Hospital Dietetic Internship,12,2012-13
Academy Di Capelli-School of Cosmetology,80,2013-14
Ace Cosmetology and Barber Training Center,13,2013-14
Albert I Prince Technical High School,106,2013-14
Albertus Magnus College,1637,2013-14
Asnuntuck Community College,1068,2013-14
Belle Academy of Cosmetology,5,2013-14
Branford Academy of Hair and Cosmetology,79,2013-14
Branford Hall Career Institute,537,2013-14
Branford Hall Career Institute,643,2013-14
Branford Hall Career Institute,451,2013-14
Bridgeport Hospital School of Nursing,155,2013-14
Bristol Technical Education Center,46,2013-14
Bullard-Havens Technical High School,16,2013-14
Capital Community College,2407,2013-14
Central Connecticut State University,9854,2013-14
Charter Oak State College,906,2013-14
Connecticut Center for Massage Therapy,103,2013-14
Connecticut Center for Massage Therapy,246,2013-14
Connecticut Center for Massage Therapy,275,2013-14
Connecticut College,2032,2013-14
Connecticut Institute of Hair Design,44,2013-14
Eastern Connecticut State University,4911,2013-14
Eli Whitney Technical High School,38,2013-14
European Academy of Cosmetology and Hairdressing,38,2013-14
Fairfield University,4676,2013-14
Fox Institute of Business-West Hartford,396,2013-14
Gateway Community College,4892,2013-14
Goodwin College,3111,2013-14
Hartford Seminary,79,2013-14
Holy Apostles College and Seminary,266,2013-14
Housatonic Community College,3379,2013-14
Howell Cheney Technical High School,73,2013-14
Industrial Management Training Institute,95,2013-14
International Institute of Cosmetology,143,2013-14
Lincoln College of New England-Southington,594,2013-14
Lincoln Technical Institute,906,2013-14
Lincoln Technical Institute,396,2013-14
Lincoln Technical Institute,366,2013-14
Lincoln Technical Institute,586,2013-14
Lyme Academy College of Fine Arts,69,2013-14
Manchester Community College,4544,2013-14
Marinello Schools of Beauty,184,2013-14
Marinello Schools of Beauty,618,2013-14
Marinello Schools of Beauty,342,2013-14
Middlesex Community College,1848,2013-14
Mitchell College,778,2013-14
Naugatuck Valley Community College,4405,2013-14
New England Tractor Trailer Training School of Connecticut,224,2013-14
New England Tractor Trailer Training School of Connecticut,365,2013-14
Northwestern Connecticut Community College,822,2013-14
Norwalk Community College,3975,2013-14
Norwich Technical High School,50,2013-14
Oxford Academy of Hair Design Inc,117,2013-14
Paier College of Art Inc,131,2013-14
Paul Mitchell the School,138,2013-14
Paul Mitchell the School,168,2013-14
Platt Technical High School,16,2013-14
Porter and Chester Institute,364,2013-14
Porter and Chester Institute,3152,2013-14
Post University,7146,2013-14
Quinebaug Valley Community College,1072,2013-14
Quinnipiac University,8873,2013-14
Rensselaer Hartford Graduate Center Inc,117,2013-14
Ricci's Academy of Cosmetology,79,2013-14
Ridley-Lowell Business & Technical Institute,249,2013-14
Ridley-Lowell Business & Technical Institute,267,2013-14
Sacred Heart University,6519,2013-14
Southern Connecticut State University,8836,2013-14
St Vincent's College,490,2013-14
Stone Academy,312,2013-14
Stone Academy,384,2013-14
Stone Academy,204,2013-14
Three Rivers Community College,2771,2013-14
Trinity College,2371,2013-14
Tunxis Community College,2691,2013-14
University of Bridgeport,4155,2013-14
University of Connecticut,24161,2013-14
University of Connecticut,589,2013-14
University of Connecticut,1133,2013-14
University of Connecticut,2120,2013-14
University of Hartford,6366,2013-14
University of New Haven,6392,2013-14
University of Phoenix-Connecticut,17,2013-14
University of Saint Joseph,1969,2013-14
Vinal Technical High School,40,2013-14
W F Kaynor Technical High School,41,2013-14
Wesleyan University,3262,2013-14
Western Connecticut State University,5117,2013-14
Windham Memorial Hospital-Radiologic Technology Program,24,2013-14
Windham Technical High School,19,2013-14
Yale University,14111,2013-14
Yale-New Haven Hospital Dietetic Internship,10,2013-14
