"","State","School.Type","1011","1112","1213","1314","1415","1516"
"26","DE","Proprietary",0.1084,0.1018,0.0863,0.0803,0.0736,0.0481
"27","DE","Public",0.6235,0.6342,0.6412,0.6407,0.648,0.6709
"28","FL","Private",0.1235,0.115,0.1166,0.2303,0.2139,0.2073
"29","FL","Proprietary",0.2564,0.2558,0.2589,0.1333,0.1309,0.1186
"30","FL","Public",0.62,0.6292,0.6245,0.6364,0.6552,0.6741
"31","GA","Private",0.091,0.0922,0.0964,0.0962,0.0967,0.1017
"32","GA","Proprietary",0.1979,0.1581,0.1412,0.1409,0.1284,0.1005
"33","GA","Public",0.7111,0.7498,0.7623,0.7629,0.7749,0.7978
"34","HI","Private",0.1843,0.1692,0.1581,0.1491,0.1465,0.1518
"35","HI","Proprietary",0.0296,0.0321,0.0319,0.0372,0.0339,0.0304
"36","HI","Public",0.786,0.7987,0.81,0.8137,0.8196,0.8178
"37","IA","Private",0.0882,0.1453,0.1543,0.1578,0.1599,0.1787
"38","IA","Proprietary",0.6442,0.3871,0.3814,0.3942,0.3909,0.3324
"39","IA","Public",0.2676,0.4676,0.4644,0.448,0.4493,0.4889
"40","ID","Private",0.2807,0.2673,0.2884,0.3143,0.3575,0.3449
"41","ID","Proprietary",0.0675,0.0456,0.0529,0.0557,0.0546,0.0485
"42","ID","Public",0.6517,0.6871,0.6587,0.6301,0.5879,0.6065
"43","IL","Private",0.1529,0.1564,0.164,0.1772,0.182,0.1988
"44","IL","Proprietary",0.3637,0.3106,0.287,0.2679,0.2588,0.2251
"45","IL","Public",0.4834,0.533,0.549,0.5549,0.5592,0.5761
"46","IN","Private",0.0962,0.1074,0.1118,0.1161,0.1283,0.1448
"47","IN","Proprietary",0.4377,0.3658,0.361,0.3702,0.3631,0.3107
"48","IN","Public",0.466,0.5269,0.5272,0.5137,0.5086,0.5445
"49","KS","Private",0.1643,0.1698,0.1608,0.1554,0.1495,0.1537
"50","KS","Proprietary",0.0786,0.0635,0.1131,0.1518,0.1511,0.128
"51","KS","Public",0.7571,0.7667,0.7261,0.6928,0.6994,0.7182
"52","KY","Private",0.1221,0.1278,0.1322,0.124,0.1302,0.1412
"53","KY","Proprietary",0.1538,0.1161,0.1082,0.1075,0.0978,0.0739
"54","KY","Public",0.7241,0.7561,0.7595,0.7685,0.772,0.7849
"55","LA","Private",0.0703,0.0704,0.0703,0.0673,0.0654,0.0688
"56","LA","Proprietary",0.1363,0.1274,0.1268,0.1301,0.1344,0.1134
"57","LA","Public",0.7934,0.8022,0.8029,0.8026,0.8002,0.8178
"58","MA","Private",0.3463,0.3223,0.3246,0.3235,0.3266,0.3424
"59","MA","Proprietary",0.0878,0.0828,0.0691,0.0647,0.056,0.0419
"60","MA","Public",0.5659,0.5949,0.6063,0.6118,0.6174,0.6157
"61","MD","Private",0.0834,0.0783,0.0765,0.0775,0.071,0.0712
"62","MD","Proprietary",0.152,0.1373,0.1168,0.107,0.0964,0.0765
"63","MD","Public",0.7646,0.7844,0.8067,0.8155,0.8327,0.8524
"64","ME","Private",0.1688,0.152,0.1493,0.1567,0.1586,0.1664
"65","ME","Proprietary",0.0782,0.1274,0.1231,0.1198,0.1073,0.0763
"66","ME","Public",0.753,0.7205,0.7275,0.7235,0.734,0.7573
"67","MI","Private",0.1859,0.182,0.179,0.1884,0.1815,0.1499
"68","MI","Proprietary",0.0792,0.0775,0.0799,0.0677,0.069,0.059
"69","MI","Public",0.7349,0.7404,0.7411,0.7438,0.7494,0.7911
"70","MN","Private",0.1108,0.108,0.1113,0.1152,0.118,0.1296
"71","MN","Proprietary",0.3063,0.2847,0.2686,0.2656,0.2608,0.2202
"72","MN","Public",0.5829,0.6073,0.6201,0.6192,0.6212,0.6502
"73","MO","Private",0.2321,0.2466,0.2571,0.2681,0.2726,0.2764
"74","MO","Proprietary",0.179,0.1385,0.1306,0.1172,0.1094,0.0938
"75","MO","Public",0.5889,0.6149,0.6123,0.6147,0.618,0.6298
"76","MS","Private",0.0669,0.0687,0.0721,0.0732,0.0769,0.0781
"77","MS","Proprietary",0.0179,0.0146,0.0159,0.0158,0.0141,0.0099
"78","MS","Public",0.9152,0.9167,0.9119,0.911,0.909,0.912
"79","MT","Private",0.0766,0.0731,0.0747,0.0781,0.0811,0.0826
"80","MT","Proprietary",0.0214,0.0217,0.0245,0.0266,0.0274,0.0208
"81","MT","Public",0.9019,0.9052,0.9007,0.8953,0.8915,0.8967
"82","NC","Private",0.1274,0.1287,0.1257,0.1278,0.1323,0.1414
"83","NC","Proprietary",0.0214,0.0182,0.0197,0.022,0.0233,0.0205
"84","NC","Public",0.8512,0.8531,0.8546,0.8502,0.8444,0.8381
"85","ND","Private",0.1708,0.1657,0.1522,0.1564,0.1512,0.1506
"86","ND","Proprietary",0.0309,0.0249,0.0247,0.0279,0.028,0.0204
"87","ND","Public",0.7982,0.8094,0.8232,0.8157,0.8208,0.829
"88","NE","Private",0.1899,0.1902,0.1959,0.2026,0.2056,0.2228
"89","NE","Proprietary",0.0522,0.0458,0.0541,0.0484,0.029,0.024
"90","NE","Public",0.7579,0.764,0.75,0.7491,0.7654,0.7532
"91","NH","Private",0.2466,0.284,0.3555,0.4547,0.5743,0.5783
"92","NH","Proprietary",0.1875,0.1512,0.1212,0.0857,0.0521,0.0278
"93","NH","Public",0.5659,0.5649,0.5233,0.4596,0.3736,0.3939
"94","NJ","Private",0.1212,0.1118,0.1165,0.1172,0.1202,0.1215
"95","NJ","Proprietary",0.1778,0.1664,0.1522,0.1461,0.1353,0.1037
"96","NJ","Public",0.701,0.7218,0.7313,0.7368,0.7446,0.7748
"97","NM","Private",0.0073,0.0068,0.0069,0.0069,0.0074,0.0082
"98","NM","Proprietary",0.0326,0.0342,0.035,0.0366,0.0423,0.0393
"99","NM","Public",0.9601,0.959,0.958,0.9565,0.9504,0.9525
"100","NV","Private",0.0168,0.0158,0.0163,0.0365,0.0311,0.0234
"101","NV","Proprietary",0.1432,0.118,0.1188,0.1022,0.0987,0.0719
"102","NV","Public",0.8401,0.8662,0.8649,0.8613,0.8702,0.9047
"103","NY","Private",0.2514,0.2418,0.2411,0.2385,0.2383,0.2405
"104","NY","Proprietary",0.1678,0.1565,0.1528,0.1465,0.1365,0.1112
"105","NY","Public",0.5808,0.6017,0.6061,0.615,0.6253,0.6482
"106","OH","Private",0.1638,0.152,0.1641,0.165,0.1698,0.1759
"107","OH","Proprietary",0.1094,0.093,0.0883,0.091,0.0893,0.077
"108","OH","Public",0.7268,0.755,0.7476,0.7439,0.741,0.7471
"109","OK","Private",0.0785,0.0812,0.0872,0.0974,0.099,0.1
"110","OK","Proprietary",0.1081,0.0961,0.1012,0.1057,0.1158,0.1089
"111","OK","Public",0.8134,0.8226,0.8115,0.7969,0.7852,0.7911
"112","OR","Private",0.0758,0.0742,0.0766,0.0986,0.0973,0.1057
"113","OR","Proprietary",0.1313,0.1056,0.1,0.0818,0.0859,0.081
"114","OR","Public",0.7929,0.8202,0.8234,0.8196,0.8168,0.8132
"115","PA","Private",0.2643,0.2708,0.2797,0.2908,0.2996,0.3188
"116","PA","Proprietary",0.2554,0.2262,0.2149,0.1995,0.1809,0.1464
"117","PA","Public",0.4803,0.503,0.5054,0.5097,0.5196,0.5348
"118","RI","Private",0.4055,0.4472,0.441,0.4438,0.4475,0.4566
"119","RI","Proprietary",0.1887,0.0534,0.0392,0.03,0.0363,0.0312
"120","RI","Public",0.4059,0.4994,0.5198,0.5262,0.5161,0.5123
"121","SC","Private",0.1623,0.1579,0.1545,0.1551,0.1636,0.1791
"122","SC","Proprietary",0.0396,0.0344,0.0329,0.0314,0.0321,0.0302
"123","SC","Public",0.7981,0.8076,0.8126,0.8135,0.8043,0.7907
"124","SD","Private",0.0944,0.0875,0.0822,0.0778,0.0768,0.0846
"125","SD","Proprietary",0.3091,0.3413,0.3674,0.3864,0.3676,0.3078
"126","SD","Public",0.5966,0.5711,0.5505,0.5358,0.5557,0.6076
"127","TN","Private",0.1612,0.1645,0.1747,0.1804,0.1857,0.1894
"128","TN","Proprietary",0.1394,0.1268,0.1309,0.1351,0.1271,0.1035
"129","TN","Public",0.6994,0.7086,0.6945,0.6844,0.6872,0.707
"130","TX","Private",0.0639,0.0764,0.0792,0.0823,0.0798,0.0809
"131","TX","Proprietary",0.142,0.1144,0.1009,0.099,0.0987,0.0882
"132","TX","Public",0.794,0.8092,0.8199,0.8187,0.8214,0.8309
"133","UT","Private",0.2589,0.2674,0.2819,0.2927,0.3288,0.3355
"134","UT","Proprietary",0.1704,0.1541,0.1603,0.16,0.1473,0.135
"135","UT","Public",0.5707,0.5785,0.5578,0.5473,0.5238,0.5296
"136","VA","Private",0.1911,0.2228,0.2306,0.2397,0.2429,0.241
"137","VA","Proprietary",0.2304,0.1658,0.158,0.1498,0.1497,0.129
"138","VA","Public",0.5785,0.6114,0.6114,0.6104,0.6075,0.6299
"139","VT","Private",0.3022,0.2995,0.3003,0.3118,0.3356,0.3777
"140","VT","Proprietary",0.0303,0.0266,0.0297,0.0253,0.0268,0.0206
"141","VT","Public",0.6675,0.6739,0.6701,0.6629,0.6376,0.6017
"142","WA","Private",0.0799,0.0776,0.0782,0.1155,0.1043,0.102
"143","WA","Proprietary",0.1162,0.0969,0.0978,0.0713,0.0701,0.0607
"144","WA","Public",0.804,0.8255,0.824,0.8133,0.8256,0.8372
"145","WI","Private",0.1426,0.138,0.1359,0.1359,0.1353,0.1378
"146","WI","Proprietary",0.1074,0.0855,0.0812,0.0831,0.0859,0.0765
"147","WI","Public",0.75,0.7765,0.7829,0.781,0.7788,0.7856
"148","WV","Private",0.1039,0.0856,0.0533,0.0535,0.0583,0.064
"149","WV","Proprietary",0.2488,0.3143,0.3565,0.3719,0.3635,0.3221
"150","WV","Public",0.6473,0.6002,0.5903,0.5746,0.5783,0.6139
"151","WY","Private",NA,NA,NA,0.2078,0.1417,0.075
"152","WY","Proprietary",0.3684,0.324,0.3087,0.0149,0.0152,0.0119
"153","WY","Public",0.6316,0.676,0.6913,0.7774,0.8431,0.9131
