"","X","School","State","School.Type","Total.Disbursements","Year"
"27",27,"JEFFERSON STATE COMMUNITY COLLEGE","AL","Public",14083980,1011
"28",28,"JUDSON COLLEGE","AL","Private-Nonprofit",689992.47,1011
"29",29,"UNIVERSITY OF WEST ALABAMA","AL","Public",6557465.75,1011
"30",30,"MARION MILITARY INSTITUTE","AL","Public",990959.23,1011
"31",31,"MILES COLLEGE","AL","Private-Nonprofit",7465089.68,1011
"32",32,"UNIVERSITY OF MOBILE","AL","Private-Nonprofit",3316581,1011
"33",33,"BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public",12327867.35,1011
"34",34,"NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","Public",12077694.37,1011
"35",35,"OAKWOOD UNIVERSITY","AL","Private-Nonprofit",4067582,1011
"36",36,"ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public",5310004.63,1011
"37",37,"SAMFORD UNIVERSITY","AL","Private-Nonprofit",2171499.65,1011
"38",38,"SNEAD STATE COMMUNITY COLLEGE","AL","Public",6314436.44,1011
"39",39,"SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","Public",10571531.34,1011
"40",40,"SPRING HILL COLLEGE","AL","Private-Nonprofit",2468110.95,1011
"41",41,"STILLMAN COLLEGE","AL","Private-Nonprofit",4368311.96,1011
"42",42,"TALLADEGA COLLEGE","AL","Private-Nonprofit",3090622,1011
"43",43,"TROY UNIVERSITY","AL","Public",45532071,1011
"44",44,"TUSKEGEE UNIVERSITY","AL","Private-Nonprofit",7964989.31,1011
"45",45,"UNIVERSITY OF ALABAMA","AL","Public",25539807,1011
"46",46,"UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","Public",18773743,1011
"47",47,"UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","Public",9078985,1011
"48",48,"UNIVERSITY OF SOUTH ALABAMA","AL","Public",19095371,1011
"49",49,"LAWSON STATE COMMUNITY COLLEGE","AL","Public",17182100.85,1011
"50",50,"JAMES H. FAULKNER STATE COMMUNITY COLLEGE","AL","Public",11599392.94,1011
"51",51,"J F DRAKE STATE TECHNICAL COLLEGE","AL","Public",4769459.85,1011
"52",52,"SHELTON STATE COMMUNITY COLLEGE","AL","Public",13375757.06,1011
"53",53,"REID STATE TECHNICAL COLLEGE","AL","Public",3040401,1011
"54",54,"NORTHWEST - SHOALS COMMUNITY COLLEGE","AL","Public",11573374.72,1011
"55",55,"GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","Public",8860014.4,1011
"56",56,"BEVILL STATE COMMUNITY COLLEGE","AL","Public",14234733.64,1011
"57",57,"H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE","AL","Public",6473103.99,1011
"58",58,"GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","Public",17132480.91,1011
"59",59,"AUBURN UNIVERSITY MONTGOMERY","AL","Public",8853762,1011
"60",60,"LURLEEN B. WALLACE COMMUNITY COLLEGE","AL","Public",6264973.85,1011
"61",61,"CONCORDIA COLLEGE ALABAMA","AL","Private-Nonprofit",2907276.62,1011
"62",62,"CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","Public",5412586.32,1011
"63",63,"UNITED STATES SPORTS ACADEMY","AL","Private-Nonprofit",287062,1011
"64",64,"HERITAGE CHRISTIAN UNIVERSITY","AL","Private-Nonprofit",125537,1011
"65",65,"SOUTHEASTERN BIBLE COLLEGE","AL","Private-Nonprofit",407089,1011
"66",66,"PAUL MITCHELL THE SCHOOL HUNTSVILLE","AL","Proprietary",488317.49,1011
"67",67,"PRINCE INSTITUTE - SOUTHEAST","AL","Proprietary",430627.36,1011
"68",68,"FORTIS COLLEGE","AL","Proprietary",7812758,1011
"69",69,"AMRIDGE UNIVERSITY","AL","Private-Nonprofit",1316209.03,1011
"70",70,"REMINGTON COLLEGE - MOBILE CAMPUS","AL","Private-Nonprofit",18370540,1011
"71",71,"VIRGINIA COLLEGE","AL","Proprietary",95105271.24,1011
"72",72,"ALABAMA STATE COLLEGE OF BARBER STYLING","AL","Proprietary",200484.52,1011
"73",73,"FORTIS COLLEGE","AL","Proprietary",1665213,1011
"74",74,"SOUTHEASTERN SCHOOL OF COSMETOLOGY","AL","Private-Nonprofit",693463,1011
"75",75,"BLUE CLIFF CAREER COLLEGE","AL","Proprietary",499051.02,1011
"76",76,"HUNTSVILLE BIBLE COLLEGE","AL","Private-Nonprofit",133135,1011
"77",77,"CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND","AL","Proprietary",243372,1011
"78",78,"SELMA UNIVERSITY","AL","Private-Nonprofit",2682144.14,1011
"79",79,"COLUMBIA SOUTHERN UNIVERSITY","AL","Proprietary",13708222.33,1011
"80",80,"XCELL ACADEMY-A PAUL MITCHELL PARTNER SCHOOL","AL","Proprietary",574853.58,1011
"81",81,"NEW BEGINNING COLLEGE OF COSMETOLOGY","AL","Proprietary",20425,1011
"82",82,"HAIR ACADEMY (THE)","AL","Proprietary",21738,1011
"83",83,"UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","Public",10206760,1011
"84",84,"UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","Public",12251172.54,1011
"85",85,"ARKANSAS BAPTIST COLLEGE","AR","Private-Nonprofit",4876009.08,1011
"86",86,"LYON COLLEGE","AR","Private-Nonprofit",1437582,1011
"87",87,"ARKANSAS TECH UNIVERSITY","AR","Public",20444033,1011
"88",88,"ARKANSAS STATE UNIVERSITY","AR","Public",31821166,1011
"89",89,"ARKANSAS STATE UNIVERSITY - BEEBE","AR","Public",6882099.43,1011
"90",90,"UNIVERSITY OF CENTRAL ARKANSAS","AR","Public",17569146.64,1011
"91",91,"CENTRAL BAPTIST COLLEGE","AR","Private-Nonprofit",1499783,1011
"92",92,"UNIVERSITY OF THE OZARKS","AR","Private-Nonprofit",1265585.67,1011
"93",93,"CROWLEY'S RIDGE COLLEGE","AR","Private-Nonprofit",524714.57,1011
"94",94,"HARDING UNIVERSITY","AR","Private-Nonprofit",6117475.36,1011
"95",95,"HENDERSON STATE UNIVERSITY","AR","Public",8346524.65,1011
"96",96,"HENDRIX COLLEGE","AR","Private-Nonprofit",1393507,1011
"97",97,"JOHN BROWN UNIVERSITY","AR","Private-Nonprofit",2823088.34,1011
"98",98,"UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","Public",18440885,1011
"99",99,"OUACHITA BAPTIST UNIVERSITY","AR","Private-Nonprofit",1959640,1011
"100",100,"PHILANDER SMITH COLLEGE","AR","Private-Nonprofit",2686224,1011
"101",101,"PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public",4297196.5,1011
"102",102,"WILLIAMS BAPTIST COLLEGE","AR","Private-Nonprofit",1450193,1011
"103",103,"SOUTHERN ARKANSAS UNIVERSITY","AR","Public",8035808.26,1011
"104",104,"UNIVERSITY OF ARKANSAS","AR","Public",20626771.29,1011
"105",105,"UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","Public",1484105.67,1011
"106",106,"UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","Public",18597569.46,1011
"107",107,"UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","Public",6440041.99,1011
"108",108,"SOUTHEAST ARKANSAS COLLEGE","AR","Public",5602129.7,1011
"109",109,"UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","Public",4324579,1011
"110",110,"CROWLEY'S RIDGE TECHNICAL INSTITUTE","AR","Public",1132216,1011
"111",111,"SOUTHERN ARKANSAS UNIVERSITY TECH","AR","Public",2869883.25,1011
"112",112,"PAUL MITCHELL THE SCHOOL ARKANSAS","AR","Proprietary",376635,1011
"113",113,"COLLEGE OF THE OUACHITAS","AR","Public",2647441,1011
"114",114,"ACADEMY OF SALON AND SPA","AR","Proprietary",331813,1011
"115",115,"NATIONAL PARK COMMUNITY COLLEGE","AR","Public",11007643.93,1011
"116",116,"EAST ARKANSAS COMMUNITY COLLEGE","AR","Public",3458388.86,1011
"117",117,"NORTH ARKANSAS COLLEGE","AR","Public",7203353,1011
"118",118,"ARKANSAS NORTHEASTERN COLLEGE","AR","Public",4586965.25,1011
"119",119,"BLACK RIVER TECHNICAL COLLEGE","AR","Public",8378392,1011
"120",120,"UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","Public",5241455.62,1011
"121",121,"NORTHWEST TECHNICAL INSTITUTE","AR","Public",869918.08,1011
"122",122,"SOUTH ARKANSAS COMMUNITY COLLEGE","AR","Public",4816918.8,1011
"123",123,"PULASKI TECHNICAL COLLEGE","AR","Public",32743156.97,1011
"124",124,"OZARKA COLLEGE","AR","Public",5793053.53,1011
"125",125,"RICH MOUNTAIN COMMUNITY COLLEGE","AR","Public",2335526,1011
"126",126,"PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","Proprietary",290677,1011
"127",127,"COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public",3571502.91,1011
"128",128,"BEE JAY'S HAIRSTYLING ACADEMY","AR","Proprietary",237287,1011
"129",129,"EASTERN COLLEGE OF HEALTH VOCATIONS","AR","Proprietary",2682724,1011
"130",130,"NEW TYLER BARBER COLLEGE","AR","Proprietary",450783.07,1011
"131",131,"MARSHA KAY BEAUTY COLLEGE","AR","Proprietary",63114,1011
"132",132,"JRMC SCHOOL OF NURSING","AR","Private-Nonprofit",186609,1011
"133",133,"CAREER ACADEMY OF HAIR DESIGN","AR","Proprietary",787163,1011
"134",134,"MID-SOUTH COMMUNITY COLLEGE","AR","Public",5838703.37,1011
"135",135,"ARTHUR'S BEAUTY COLLEGE","AR","Proprietary",208569,1011
"136",136,"LEES SCHOOL OF COSMETOLOGY","AR","Proprietary",152130.5,1011
"137",137,"ARTHUR'S BEAUTY COLLEGE","AR","Proprietary",721225,1011
"138",138,"SEARCY BEAUTY COLLEGE","AR","Proprietary",200928,1011
"139",139,"ARKANSAS BEAUTY SCHOOL","AR","Proprietary",259776,1011
"140",140,"HOT SPRINGS BEAUTY COLLEGE","AR","Proprietary",325584,1011
"141",141,"ARKANSAS BEAUTY SCHOOL/CONWAY","AR","Proprietary",258729,1011
"142",142,"ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN","AR","Proprietary",558056.76,1011
"143",143,"NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","Public",13377762.3,1011
"144",144,"ABC BEAUTY COLLEGE","AR","Proprietary",258387,1011
"145",145,"BAPTIST HEALTH SCHOOLS LITTLE ROCK","AR","Private-Nonprofit",1779656.96,1011
"146",146,"IMAGINE - PAUL MITCHELL PARTNER SCHOOL","AR","Proprietary",1534296.75,1011
"147",147,"ASKINS VO TECH","AR","Proprietary",29338,1011
"148",148,"VELVATEX COLLEGE OF BEAUTY CULTURE","AR","Proprietary",82625,1011
"149",149,"MARGARET'S HAIR ACADEMY","AR","Proprietary",214375,1011
"150",150,"LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL","AR","Proprietary",69654,1011
"151",151,"ECCLESIA COLLEGE","AR","Private-Nonprofit",328826.45,1011
"152",152,"CROSSETT SCHOOL OF COSMETOLOGY","AR","Proprietary",118695,1011
"153",153,"ARKANSAS BEAUTY COLLEGE","AR","Proprietary",147811,1011
"154",154,"WASHINGTON BARBER COLLEGE","AR","Proprietary",49825,1011
"155",155,"SALON PROFESSIONAL ACADEMY (THE)","AR","Proprietary",64684,1011
"156",156,"AMERICAN SAMOA COMMUNITY COLLEGE","AS","Public",7071844.82,1011
"157",157,"ARIZONA WESTERN COLLEGE","AZ","Public",19849720.33,1011
"158",158,"COCHISE COLLEGE","AZ","Public",7765000.64,1011
"159",159,"EASTERN ARIZONA COLLEGE","AZ","Public",7132912,1011
"160",160,"GRAND CANYON UNIVERSITY","AZ","Proprietary",88763107,1011
"161",161,"GLENDALE COMMUNITY COLLEGE","AZ","Public",31268727.89,1011
"162",162,"MESA COMMUNITY COLLEGE","AZ","Public",37952113.41,1011
"163",163,"PHOENIX COLLEGE","AZ","Public",22976028.86,1011
"164",164,"YAVAPAI COLLEGE","AZ","Public",9662939.59,1011
"165",165,"ARIZONA STATE UNIVERSITY","AZ","Public",99170663,1011
"166",166,"NORTHERN ARIZONA UNIVERSITY","AZ","Public",36052510,1011
"167",167,"UNIVERSITY OF ARIZONA (THE)","AZ","Public",46781516.5,1011
"168",168,"TUCSON COLLEGE","AZ","Proprietary",2313745.18,1011
"169",169,"ARIZONA CHRISTIAN UNIVERSITY","AZ","Private-Nonprofit",900669.43,1011
"170",170,"PIMA COUNTY COMMUNITY COLLEGE","AZ","Public",52483296.21,1011
"171",171,"CENTRAL ARIZONA COLLEGE","AZ","Public",13506631.72,1011
"172",172,"UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary",45790567.51,1011
"173",173,"DINE COLLEGE","AZ","Public",7265527,1011
"174",174,"GATEWAY COMMUNITY COLLEGE","AZ","Public",9320466.94,1011
"175",175,"SCOTTSDALE COMMUNITY COLLEGE","AZ","Public",9083786.2,1011
"176",176,"ARIZONA ACADEMY OF BEAUTY","AZ","Proprietary",331720.13,1011
"177",177,"EMPIRE BEAUTY SCHOOL","AZ","Proprietary",1502804.9,1011
"178",178,"ARIZONA AUTOMOTIVE INSTITUTE","AZ","Proprietary",9956042.23,1011
"179",179,"AVALON SCHOOL OF COSMETOLOGY","AZ","Proprietary",2384836,1011
"180",180,"REFRIGERATION SCHOOL (THE)","AZ","Proprietary",2744757.27,1011
"181",181,"ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","Proprietary",278531.75,1011
"182",182,"EMPIRE BEAUTY SCHOOL - FLAGSTAFF","AZ","Proprietary",1528975.83,1011
"183",183,"NORTHLAND PIONEER COLLEGE","AZ","Public",3567325.53,1011
"184",184,"MOHAVE COMMUNITY COLLEGE","AZ","Public",13103995,1011
"185",185,"INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","Proprietary",1124526,1011
"186",186,"EMPIRE BEAUTY SCHOOL","AZ","Proprietary",1329813.01,1011
"187",187,"EMPIRE BEAUTY SCHOOL","AZ","Proprietary",476276.46,1011
"188",188,"PRESCOTT COLLEGE","AZ","Private-Nonprofit",2259205,1011
"189",189,"KAPLAN COLLEGE","AZ","Proprietary",2441761,1011
"190",190,"UNIVERSITY OF PHOENIX","AZ","Proprietary",1219141548.15,1011
"191",191,"UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary",41271039.01,1011
"192",192,"CARRINGTON COLLEGE","AZ","Proprietary",18306494.97,1011
"193",193,"ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","Proprietary",80287,1011
"194",194,"SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","Public",9390415.95,1011
"195",195,"WESTERN INTERNATIONAL UNIVERSITY","AZ","Proprietary",4472838.21,1011
"196",196,"RIO SALADO COMMUNITY COLLEGE","AZ","Public",25402074.77,1011
"197",197,"MARICOPA BEAUTY COLLEGE","AZ","Proprietary",584251.77,1011
"198",198,"AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","Private-Nonprofit",343791.24,1011
"199",199,"PIMA MEDICAL INSTITUTE","AZ","Proprietary",33015077.78,1011
"200",200,"BROOKLINE COLLEGE","AZ","Proprietary",17241239.49,1011
"201",201,"EMPIRE BEAUTY SCHOOL","AZ","Proprietary",1274617.73,1011
"202",202,"ANTHEM COLLEGE","AZ","Proprietary",18014436.32,1011
"203",203,"CHARLES OF ITALY BEAUTY COLLEGE","AZ","Proprietary",388702,1011
"204",204,"EVEREST COLLEGE PHOENIX","AZ","Proprietary",27861369,1011
"205",205,"AMERICAN INSTITUTE OF TECHNOLOGY","AZ","Proprietary",3502605.04,1011
"206",206,"SOUTHWEST UNIVERSITY OF VISUAL ARTS","AZ","Proprietary",1882237,1011
"207",207,"LAMSON COLLEGE","AZ","Proprietary",981155.02,1011
"208",208,"FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTURE","AZ","Private-Nonprofit",2677,1011
"209",209,"UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","Proprietary",2934082.26,1011
"210",210,"BRILLARE HAIRDRESSING ACADEMY","AZ","Proprietary",782851.03,1011
"211",211,"CORTIVA INSTITUTE - TUCSON","AZ","Proprietary",647104,1011
"212",212,"LE CORDON BLEU COLLEGE OF CULINARY ARTS","AZ","Proprietary",9576193.63,1011
"213",213,"PARADISE VALLEY COMMUNITY COLLEGE","AZ","Public",8754333.73,1011
"214",214,"CORTIVA INSTITUTE - SCOTTSDALE","AZ","Proprietary",326729,1011
"215",215,"SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","Proprietary",378626,1011
"216",216,"CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","Proprietary",1974026,1011
"217",217,"CHANDLER - GILBERT COMMUNITY COLLEGE","AZ","Public",11608483.95,1011
"218",218,"BRYMAN SCHOOL OF ARIZONA (THE)","AZ","Proprietary",13615997.5,1011
"219",219,"CARSTEN AVEDA INSTITUTE","AZ","Proprietary",609482.69,1011
"220",220,"COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF","AZ","Public",5315949,1011
"221",221,"ARIZONA COLLEGE","AZ","Proprietary",3148935,1011
"222",222,"COLLEGEAMERICA - FLAGSTAFF","AZ","Proprietary",4887197.37,1011
"223",223,"ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","Public",14119198.28,1011
"224",224,"INTERNATIONAL BAPTIST COLLEGE & SEMINARY","AZ","Private-Nonprofit",150367,1011
"225",225,"HDS TRUCK DRIVING INSTITUTE","AZ","Proprietary",222807.75,1011
"226",226,"EAST VALLEY INSTITUTE OF TECHNOLOGY","AZ","Public",233251,1011
"227",227,"SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","Proprietary",1656437,1011
"228",228,"TOHONO O'ODHAM COMMUNITY COLLEGE","AZ","Public",204771.5,1011
"229",229,"NORTHCENTRAL UNIVERSITY","AZ","Proprietary",308309,1011
"230",230,"TURNING POINT BEAUTY COLLEGE","AZ","Proprietary",365504.69,1011
"231",231,"ART INSTITUTE OF PHOENIX (THE)","AZ","Proprietary",133677457.42,1011
"232",232,"TUCSON COLLEGE OF BEAUTY","AZ","Proprietary",360865,1011
"233",233,"ARIZONA CULINARY INSTITUTE","AZ","Proprietary",328995.41,1011
"234",234,"UNIVERSAL BARBER COLLEGE","AZ","Proprietary",263559.14,1011
"235",235,"AMERICAN INSTITUTE OF INTERIOR DESIGN","AZ","Proprietary",38080,1011
"236",236,"STUDIO ACADEMY OF BEAUTY (THE)","AZ","Proprietary",514349,1011
"237",237,"NATIONAL PARALEGAL COLLEGE","AZ","Proprietary",856843.17,1011
"238",238,"CCIC BEAUTY COLLEGE","AZ","Proprietary",69163,1011
"239",239,"PAUL MITCHELL THE SCHOOL PHOENIX","AZ","Proprietary",457648.63,1011
"240",240,"ALL BEAUTY COLLEGE","AZ","Proprietary",245434,1011
"241",241,"PENROSE ACADEMY","AZ","Proprietary",305093.08,1011
"242",242,"PURE AESTHETICS","AZ","Proprietary",7833,1011
"243",243,"ALLAN HANCOCK COLLEGE","CA","Public",8702604,1011
"244",244,"ANTELOPE VALLEY COLLEGE","CA","Public",25592637.85,1011
"245",245,"ART CENTER COLLEGE OF DESIGN","CA","Private-Nonprofit",4077857.26,1011
"246",246,"AZUSA PACIFIC UNIVERSITY","CA","Private-Nonprofit",8268356,1011
"247",247,"BAKERSFIELD COLLEGE","CA","Public",31710815.34,1011
"248",248,"BARSTOW COMMUNITY COLLEGE","CA","Public",9152310.56,1011
"249",249,"BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD","CA","Private-Nonprofit",740712,1011
"250",250,"BIOLA UNIVERSITY","CA","Private-Nonprofit",6121312.95,1011
"251",251,"BROOKS INSTITUTE","CA","Proprietary",2216250.69,1011
"252",252,"CABRILLO COLLEGE","CA","Public",12684481,1011
"253",253,"CALIFORNIA BAPTIST UNIVERSITY","CA","Private-Nonprofit",8198073.22,1011
"254",254,"CALIFORNIA COLLEGE OF THE ARTS","CA","Private-Nonprofit",2367554,1011
"255",255,"CALIFORNIA INSTITUTE OF TECHNOLOGY","CA","Private-Nonprofit",583637,1011
"256",256,"CALIFORNIA INSTITUTE OF THE ARTS","CA","Private-Nonprofit",1508585,1011
"257",257,"CALIFORNIA LUTHERAN UNIVERSITY","CA","Private-Nonprofit",3299326.46,1011
"258",258,"CALIFORNIA MARITIME ACADEMY","CA","Public",1435586.71,1011
"259",259,"CALIFORNIA STATE UNIVERSITY, FULLERTON","CA","Public",52228934.02,1011
"260",260,"CALIFORNIA STATE UNIVERSITY, EAST BAY","CA","Public",21606203,1011
"261",261,"CALIFORNIA STATE UNIVERSITY, LONG BEACH","CA","Public",59634692,1011
"262",262,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CA","Public",47634861.04,1011
"263",263,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CA","Public",29556540,1011
"264",264,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CA","Public",40512175,1011
"265",265,"CALIFORNIA POLYTECHNIC STATE UNIVERSITY","CA","Public",16299404,1011
"266",266,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CA","Public",38242529,1011
"267",267,"CALIFORNIA STATE UNIVERSITY, CHICO","CA","Public",26221186,1011
"268",268,"CALIFORNIA STATE UNIVERSITY, FRESNO","CA","Public",47361953.94,1011
"269",269,"HUMBOLDT STATE UNIVERSITY","CA","Public",16929574,1011
"270",270,"CALIFORNIA STATE UNIVERSITY - SACRAMENTO","CA","Public",53331373.72,1011
"271",271,"SAN DIEGO STATE UNIVERSITY","CA","Public",50209453,1011
"272",272,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CA","Public",66830886.5,1011
"273",273,"SAN FRANCISCO STATE UNIVERSITY","CA","Public",45457533,1011
"274",274,"SAN JOSE STATE UNIVERSITY","CA","Public",38665186,1011
"275",275,"SONOMA STATE UNIVERSITY","CA","Public",10104884.53,1011
"276",276,"CALIFORNIA STATE UNIVERSITY, STANISLAUS","CA","Public",18794559,1011
"277",277,"CERRITOS COMMUNITY COLLEGE","CA","Public",35649385.05,1011
"278",278,"CHABOT COLLEGE","CA","Public",14485361,1011
"279",279,"CHAFFEY COMMUNITY COLLEGE","CA","Public",27729794,1011
"280",280,"CHAPMAN UNIVERSITY","CA","Private-Nonprofit",4876000.32,1011
"281",281,"CITRUS COMMUNITY COLLEGE","CA","Public",16205303,1011
"282",282,"CLAREMONT GRADUATE UNIVERSITY","CA","Private-Nonprofit",244500,1011
"283",283,"CLAREMONT MCKENNA COLLEGE","CA","Private-Nonprofit",838201,1011
"284",284,"HARVEY MUDD COLLEGE","CA","Private-Nonprofit",566504,1011
"285",285,"PITZER COLLEGE","CA","Private-Nonprofit",878804,1011
"286",286,"POMONA COLLEGE","CA","Private-Nonprofit",1446560,1011
"287",287,"SCRIPPS COLLEGE","CA","Private-Nonprofit",636323,1011
"288",288,"WEST HILLS COMMUNITY COLLEGE","CA","Public",4977246.3,1011
"289",289,"COGSWELL POLYTECHNICAL COLLEGE","CA","Proprietary",407942,1011
"290",290,"COLLEGE OF MARIN","CA","Public",6679560.03,1011
"291",291,"NOTRE DAME DE NAMUR UNIVERSITY","CA","Private-Nonprofit",1815450,1011
"292",292,"COLLEGE OF SAN MATEO","CA","Public",5897161,1011
"293",293,"COLLEGE OF THE DESERT","CA","Public",12840513.54,1011
"294",294,"HOLY NAMES UNIVERSITY","CA","Private-Nonprofit",1572742,1011
"295",295,"COLLEGE OF THE REDWOODS","CA","Public",11227750.7,1011
"296",296,"COLLEGE OF THE SEQUOIAS","CA","Public",20596659,1011
"297",297,"COLLEGE OF THE SISKIYOUS","CA","Public",4682815,1011
"298",298,"CONTRA COSTA COLLEGE","CA","Public",10428358.72,1011
"299",299,"DIABLO VALLEY COLLEGE","CA","Public",9103392.91,1011
"300",300,"CUESTA COLLEGE","CA","Public",6935083,1011
"301",301,"CYPRESS COLLEGE","CA","Public",16775679.96,1011
"302",302,"DOMINICAN UNIVERSITY OF CALIFORNIA","CA","Private-Nonprofit",2436632,1011
"303",303,"EL CAMINO COLLEGE","CA","Public",29767715.84,1011
"304",304,"FOOTHILL COLLEGE","CA","Public",5673504,1011
"305",305,"FULLERTON COLLEGE","CA","Public",19544989.92,1011
"306",306,"GAVILAN COLLEGE","CA","Public",6417489.76,1011
"307",307,"GLENDALE COMMUNITY COLLEGE","CA","Public",25192985,1011
"308",308,"GOLDEN GATE UNIVERSITY","CA","Private-Nonprofit",364695,1011
"309",309,"GOLDEN WEST COLLEGE","CA","Public",12123094,1011
"310",310,"GROSSMONT COLLEGE","CA","Public",16884696,1011
"311",311,"HARTNELL COMMUNITY COLLEGE","CA","Public",10839294.66,1011
"312",312,"HUMPHREYS COLLEGE","CA","Private-Nonprofit",3720521,1011
"313",313,"IMPERIAL VALLEY COLLEGE","CA","Public",19614623.03,1011
"314",314,"LA SIERRA UNIVERSITY","CA","Private-Nonprofit",3481306.31,1011
"315",315,"UNIVERSITY OF LA VERNE","CA","Private-Nonprofit",7672738,1011
"316",316,"LASSEN COLLEGE","CA","Public",2383207.4,1011
"317",317,"LOMA LINDA UNIVERSITY","CA","Private-Nonprofit",1409124,1011
