"","School","State","School.Type","Total.Disbursements","Year"
"47","GRAND CANYON UNIVERSITY","AZ","Proprietary",84373848.73,"1112"
"48","GLENDALE COMMUNITY COLLEGE","AZ","Public",32713765.06,"1112"
"49","MESA COMMUNITY COLLEGE","AZ","Public",38941697.68,"1112"
"50","PHOENIX COLLEGE","AZ","Public",22868825.41,"1112"
"51","YAVAPAI COLLEGE","AZ","Public",9701884.92,"1112"
"52","ARIZONA STATE UNIVERSITY","AZ","Public",104180604,"1112"
"53","NORTHERN ARIZONA UNIVERSITY","AZ","Public",35731554,"1112"
"54","UNIVERSITY OF ARIZONA (THE)","AZ","Public",43867167,"1112"
"55","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","Public",10129190,"1112"
"56","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","Public",10576078.71,"1112"
"57","ARKANSAS BAPTIST COLLEGE","AR","Private-Nonprofit",4850875,"1112"
"58","LYON COLLEGE","AR","Private-Nonprofit",1220034,"1112"
"59","ARKANSAS TECH UNIVERSITY","AR","Public",19254333,"1112"
"60","ARKANSAS STATE UNIVERSITY","AR","Public",29008267,"1112"
"61","ARKANSAS STATE UNIVERSITY - BEEBE","AR","Public",6512669.5,"1112"
"62","UNIVERSITY OF CENTRAL ARKANSAS","AR","Public",15500159.85,"1112"
"63","CENTRAL BAPTIST COLLEGE","AR","Private-Nonprofit",1687299.14,"1112"
"64","UNIVERSITY OF THE OZARKS","AR","Private-Nonprofit",1127755.3,"1112"
"65","CROWLEY'S RIDGE COLLEGE","AR","Private-Nonprofit",438611,"1112"
"66","HARDING UNIVERSITY","AR","Private-Nonprofit",5489463.31,"1112"
"67","HENDERSON STATE UNIVERSITY","AR","Public",7874318.73,"1112"
"68","HENDRIX COLLEGE","AR","Private-Nonprofit",1114828,"1112"
"69","JOHN BROWN UNIVERSITY","AR","Private-Nonprofit",2678114.86,"1112"
"70","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","Public",18388125,"1112"
"71","OUACHITA BAPTIST UNIVERSITY","AR","Private-Nonprofit",1782583,"1112"
"72","PHILANDER SMITH COLLEGE","AR","Private-Nonprofit",2678901,"1112"
"73","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public",3771148.14,"1112"
"74","WILLIAMS BAPTIST COLLEGE","AR","Private-Nonprofit",1339227,"1112"
"75","SOUTHERN ARKANSAS UNIVERSITY","AR","Public",7060187.79,"1112"
"76","UNIVERSITY OF ARKANSAS","AR","Public",19931429,"1112"
"77","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","Public",1370650,"1112"
"78","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","Public",16905440.71,"1112"
"79","ALLAN HANCOCK COLLEGE","CA","Public",9978429,"1112"
"80","ANTELOPE VALLEY COLLEGE","CA","Public",27144463.27,"1112"
"81","ART CENTER COLLEGE OF DESIGN","CA","Private-Nonprofit",3132237.22,"1112"
"82","AZUSA PACIFIC UNIVERSITY","CA","Private-Nonprofit",8577897,"1112"
"83","BAKERSFIELD COLLEGE","CA","Public",29733965.08,"1112"
"84","BARSTOW COMMUNITY COLLEGE","CA","Public",7619348.09,"1112"
"85","BIOLA UNIVERSITY","CA","Private-Nonprofit",5664357.18,"1112"
"86","BROOKS INSTITUTE","CA","Proprietary",1563907.51,"1112"
"87","CABRILLO COLLEGE","CA","Public",13726371,"1112"
"88","CALIFORNIA BAPTIST UNIVERSITY","CA","Private-Nonprofit",9036409.25,"1112"
"89","CALIFORNIA COLLEGE OF THE ARTS","CA","Private-Nonprofit",2263241,"1112"
"90","CALIFORNIA INSTITUTE OF TECHNOLOGY","CA","Private-Nonprofit",441812,"1112"
"91","CALIFORNIA INSTITUTE OF THE ARTS","CA","Private-Nonprofit",1420024,"1112"
"92","CALIFORNIA LUTHERAN UNIVERSITY","CA","Private-Nonprofit",3004310.5,"1112"
"93","CALIFORNIA MARITIME ACADEMY","CA","Public",1436228,"1112"
"94","CALIFORNIA STATE UNIVERSITY, FULLERTON","CA","Public",55187688.58,"1112"
"95","CALIFORNIA STATE UNIVERSITY, EAST BAY","CA","Public",22025029,"1112"
"96","CALIFORNIA STATE UNIVERSITY, LONG BEACH","CA","Public",59781692,"1112"
"97","CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CA","Public",51984361.22,"1112"
"98","CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CA","Public",31907097,"1112"
"99","CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CA","Public",41257132,"1112"
"100","CALIFORNIA POLYTECHNIC STATE UNIVERSITY","CA","Public",14773763,"1112"
"101","CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CA","Public",38680146,"1112"
"102","CALIFORNIA STATE UNIVERSITY, CHICO","CA","Public",26637131,"1112"
"103","CALIFORNIA STATE UNIVERSITY, FRESNO","CA","Public",48882027.55,"1112"
"104","HUMBOLDT STATE UNIVERSITY","CA","Public",16706938,"1112"
"105","CALIFORNIA STATE UNIVERSITY - SACRAMENTO","CA","Public",57228345.65,"1112"
"106","SAN DIEGO STATE UNIVERSITY","CA","Public",44645454,"1112"
"107","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CA","Public",71153498.5,"1112"
"108","SAN FRANCISCO STATE UNIVERSITY","CA","Public",46275817,"1112"
"109","SAN JOSE STATE UNIVERSITY","CA","Public",42350099,"1112"
"110","SONOMA STATE UNIVERSITY","CA","Public",10346692.6,"1112"
"111","CALIFORNIA STATE UNIVERSITY, STANISLAUS","CA","Public",20696014,"1112"
"112","CERRITOS COMMUNITY COLLEGE","CA","Public",35005530.46,"1112"
"113","CHABOT COLLEGE","CA","Public",13517412,"1112"
"114","CHAFFEY COMMUNITY COLLEGE","CA","Public",27144879,"1112"
"115","CHAPMAN UNIVERSITY","CA","Private-Nonprofit",4809272,"1112"
"116","CITRUS COMMUNITY COLLEGE","CA","Public",14464339.86,"1112"
"117","CLAREMONT GRADUATE UNIVERSITY","CA","Private-Nonprofit",141500,"1112"
"118","CLAREMONT MCKENNA COLLEGE","CA","Private-Nonprofit",701091,"1112"
"119","HARVEY MUDD COLLEGE","CA","Private-Nonprofit",407905,"1112"
"120","PITZER COLLEGE","CA","Private-Nonprofit",776640,"1112"
"121","POMONA COLLEGE","CA","Private-Nonprofit",1153003,"1112"
"122","SCRIPPS COLLEGE","CA","Private-Nonprofit",501172,"1112"
"123","WEST HILLS COMMUNITY COLLEGE","CA","Public",4518535.69,"1112"
"124","COGSWELL POLYTECHNICAL COLLEGE","CA","Proprietary",511516,"1112"
"125","COLLEGE OF MARIN","CA","Public",7104495,"1112"
"126","NOTRE DAME DE NAMUR UNIVERSITY","CA","Private-Nonprofit",2232067,"1112"
"127","COLLEGE OF SAN MATEO","CA","Public",5748054,"1112"
"128","COLLEGE OF THE DESERT","CA","Public",15311806.06,"1112"
"129","HOLY NAMES UNIVERSITY","CA","Private-Nonprofit",1646135,"1112"
"130","COLLEGE OF THE REDWOODS","CA","Public",9813517.8,"1112"
"131","COLLEGE OF THE SEQUOIAS","CA","Public",19504256,"1112"
"132","COLLEGE OF THE SISKIYOUS","CA","Public",4677959,"1112"
"133","CONTRA COSTA COLLEGE","CA","Public",9929078.66,"1112"
"134","DIABLO VALLEY COLLEGE","CA","Public",10450275.57,"1112"
"135","CUESTA COLLEGE","CA","Public",7097015,"1112"
"136","CYPRESS COLLEGE","CA","Public",16304074.73,"1112"
"137","DOMINICAN UNIVERSITY OF CALIFORNIA","CA","Private-Nonprofit",2228737,"1112"
"138","EL CAMINO COLLEGE","CA","Public",32099373,"1112"
"139","FOOTHILL COLLEGE","CA","Public",5389554.5,"1112"
"140","FULLERTON COLLEGE","CA","Public",18053578.49,"1112"
"141","GAVILAN COLLEGE","CA","Public",6635380.18,"1112"
"142","GLENDALE COMMUNITY COLLEGE","CA","Public",25407685,"1112"
"143","GOLDEN GATE UNIVERSITY","CA","Private-Nonprofit",455091,"1112"
"144","GOLDEN WEST COLLEGE","CA","Public",14745196,"1112"
"145","GROSSMONT COLLEGE","CA","Public",17504275,"1112"
"146","HARTNELL COMMUNITY COLLEGE","CA","Public",11764108.46,"1112"
"147","HUMPHREYS COLLEGE","CA","Private-Nonprofit",3198085,"1112"
"148","IMPERIAL VALLEY COLLEGE","CA","Public",18371954.47,"1112"
"149","LA SIERRA UNIVERSITY","CA","Private-Nonprofit",3675250.59,"1112"
"150","UNIVERSITY OF LA VERNE","CA","Private-Nonprofit",8613205,"1112"
"151","LASSEN COLLEGE","CA","Public",1940733.25,"1112"
"152","LOMA LINDA UNIVERSITY","CA","Private-Nonprofit",1581011,"1112"
"153","LONG BEACH CITY COLLEGE","CA","Public",46073654,"1112"
"154","MASTER'S COLLEGE AND SEMINARY","CA","Private-Nonprofit",1716207,"1112"
"155","LOS ANGELES CITY COLLEGE","CA","Public",26552665,"1112"
"156","LOS ANGELES HARBOR COLLEGE","CA","Public",13521221.7,"1112"
"157","LOS ANGELES PIERCE COLLEGE","CA","Public",25043416.22,"1112"
"158","LOS ANGELES TRADE-TECHNICAL COLLEGE","CA","Public",20436040.06,"1112"
"159","LOS ANGELES VALLEY COLLEGE","CA","Public",24113297.56,"1112"
"160","SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES","CA","Private-Nonprofit",40321.75,"1112"
"161","AMERICAN RIVER COLLEGE","CA","Public",36710719,"1112"
"162","SACRAMENTO CITY COLLEGE","CA","Public",25110144,"1112"
"163","MENLO COLLEGE","CA","Private-Nonprofit",1055536,"1112"
"164","MERCED COLLEGE","CA","Public",21883568.92,"1112"
"165","MILLS COLLEGE","CA","Private-Nonprofit",2014274.5,"1112"
"166","MIRACOSTA COLLEGE","CA","Public",5552032,"1112"
"167","MODESTO JUNIOR COLLEGE","CA","Public",26070893.49,"1112"
"168","MONTEREY PENINSULA COLLEGE","CA","Public",5038107,"1112"
"169","MOUNT SAINT MARY'S COLLEGE","CA","Private-Nonprofit",5464393.05,"1112"
"170","MOUNT SAN ANTONIO COLLEGE","CA","Public",39703534,"1112"
"171","MT. SAN JACINTO COLLEGE","CA","Public",17994124.29,"1112"
"172","NAPA VALLEY COLLEGE","CA","Public",6781908.67,"1112"
"173","OCCIDENTAL COLLEGE","CA","Private-Nonprofit",2011379,"1112"
"174","ORANGE COAST COLLEGE","CA","Public",19892572,"1112"
"175","OTIS COLLEGE OF ART AND DESIGN","CA","Private-Nonprofit",2626964.35,"1112"
"176","HOPE INTERNATIONAL UNIVERSITY","CA","Private-Nonprofit",1891654,"1112"
"177","FRESNO PACIFIC UNIVERSITY","CA","Private-Nonprofit",6239089.59,"1112"
"178","PACIFIC OAKS COLLEGE","CA","Private-Nonprofit",472279.5,"1112"
"179","PACIFIC UNION COLLEGE","CA","Private-Nonprofit",2667834.25,"1112"
"180","PALO VERDE COLLEGE","CA","Public",1461630,"1112"
"181","PALOMAR COLLEGE","CA","Public",14072555.21,"1112"
"182","PASADENA CITY COLLEGE","CA","Public",28370334,"1112"
"183","POINT LOMA NAZARENE UNIVERSITY","CA","Private-Nonprofit",2775738,"1112"
"184","LANEY COLLEGE","CA","Public",11316956.34,"1112"
"185","MERRITT COLLEGE","CA","Public",6638855.34,"1112"
"186","PORTERVILLE COLLEGE","CA","Public",9177449,"1112"
"187","RIO HONDO COMMUNITY COLLEGE","CA","Public",18765685,"1112"
"188","RIVERSIDE CITY COLLEGE","CA","Public",20696806.32,"1112"
"189","SAN BERNARDINO VALLEY COLLEGE","CA","Public",18629274.14,"1112"
"190","SAN DIEGO CITY COLLEGE","CA","Public",24467873.98,"1112"
"191","SAN DIEGO MESA COLLEGE","CA","Public",17956145.13,"1112"
"192","SAN FRANCISCO CONSERVATORY OF MUSIC","CA","Private-Nonprofit",272030,"1112"
"193","SAN JOAQUIN DELTA COLLEGE","CA","Public",30284150,"1112"
"194","WILLIAM JESSUP UNIVERSITY","CA","Private-Nonprofit",1814825.52,"1112"
"195","SAN JOSE CITY COLLEGE","CA","Public",10102225.98,"1112"
"196","SANTA ANA COLLEGE","CA","Public",13579769.75,"1112"
"197","SANTA BARBARA CITY COLLEGE","CA","Public",16243147.55,"1112"
"198","SANTA MONICA COLLEGE","CA","Public",28709845.5,"1112"
"199","SANTA ROSA JUNIOR COLLEGE - SANTA ROSA","CA","Public",16548195.26,"1112"
"200","SHASTA COLLEGE","CA","Public",12934822.39,"1112"
"201","SIERRA COLLEGE","CA","Public",24731960,"1112"
"202","SIMPSON UNIVERSITY","CA","Private-Nonprofit",2720617.35,"1112"
"203","SOLANO COMMUNITY COLLEGE","CA","Public",10411185.69,"1112"
"204","VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA","CA","Private-Nonprofit",3292674.07,"1112"
"205","SOUTHWESTERN COMMUNITY COLLEGE DISTRICT","CA","Public",20205814.29,"1112"
"206","SAINT MARY'S COLLEGE OF CALIFORNIA","CA","Private-Nonprofit",3994123.65,"1112"
"207","STANFORD UNIVERSITY","CA","Private-Nonprofit",5241687.88,"1112"
"208","FRESNO CITY COLLEGE","CA","Public",33127300,"1112"
"209","REEDLEY COLLEGE","CA","Public",18569893,"1112"
"210","TAFT COLLEGE","CA","Public",3346386,"1112"
"211","UNIVERSITY OF CALIFORNIA, BERKELEY","CA","Public",39678390,"1112"
"212","UNIVERSITY OF CALIFORNIA, DAVIS","CA","Public",47212641,"1112"
"213","UNIVERSITY OF CALIFORNIA, IRVINE","CA","Public",39825561.6,"1112"
"214","UNIVERSITY OF CALIFORNIA, LOS ANGELES","CA","Public",43755842,"1112"
"215","UNIVERSITY OF CALIFORNIA, RIVERSIDE","CA","Public",47111129,"1112"
"216","UNIVERSITY OF CALIFORNIA, SAN DIEGO","CA","Public",48135139,"1112"
"217","UNIVERSITY OF CALIFORNIA, SANTA BARBARA","CA","Public",30959733,"1112"
"218","UNIVERSITY OF CALIFORNIA, SANTA CRUZ","CA","Public",28296278,"1112"
"219","UNIVERSITY OF REDLANDS","CA","Private-Nonprofit",4213489,"1112"
"220","UNIVERSITY OF SAN FRANCISCO","CA","Private-Nonprofit",6833096,"1112"
"221","SANTA CLARA UNIVERSITY","CA","Private-Nonprofit",3474469,"1112"
"222","UNIVERSITY OF SOUTHERN CALIFORNIA","CA","Private-Nonprofit",17625293.74,"1112"
"223","UNIVERSITY OF THE PACIFIC","CA","Private-Nonprofit",7027727.29,"1112"
"224","VENTURA COLLEGE","CA","Public",16203546.64,"1112"
"225","VICTOR VALLEY COMMUNITY COLLEGE","CA","Public",23360694,"1112"
"226","WEST VALLEY COLLEGE","CA","Public",6799015.52,"1112"
"227","CORBAN UNIVERSITY","OR","Private-Nonprofit",1929381,"1112"
"228","WESTMONT COLLEGE","CA","Private-Nonprofit",1198935,"1112"
"229","WHITTIER COLLEGE","CA","Private-Nonprofit",2703322,"1112"
"230","WOODBURY UNIVERSITY","CA","Private-Nonprofit",3231409,"1112"
"231","YUBA COLLEGE","CA","Public",12575512.17,"1112"
"232","ADAMS STATE UNIVERSITY","CO","Public",6113052.68,"1112"
"233","ARAPAHOE COMMUNITY COLLEGE","CO","Public",10535613,"1112"
"234","COLORADO COLLEGE","CO","Private-Nonprofit",858961,"1112"
"235","COLORADO SCHOOL OF MINES","CO","Public",2932867,"1112"
"236","UNIVERSITY OF NORTHERN COLORADO","CO","Public",13106698,"1112"
"237","COLORADO STATE UNIVERSITY","CO","Public",22163764,"1112"
"238","FORT LEWIS COLLEGE","CO","Public",5588268,"1112"
"239","LAMAR COMMUNITY COLLEGE","CO","Public",1519842,"1112"
"240","COLORADO MESA UNIVERSITY","CO","Public",15529569,"1112"
"241","COLORADO NORTHWESTERN COMMUNITY COLLEGE","CO","Public",1153370,"1112"
"242","METROPOLITAN STATE UNIVERSITY OF DENVER","CO","Public",36657775,"1112"
"243","NORTHEASTERN JUNIOR COLLEGE","CO","Public",2913897,"1112"
"244","OTERO JUNIOR COLLEGE","CO","Public",3263330.28,"1112"
"245","REGIS UNIVERSITY","CO","Private-Nonprofit",5865465.71,"1112"
"246","COLORADO STATE UNIVERSITY-PUEBLO","CO","Public",13347600.5,"1112"
"247","TRINIDAD STATE JUNIOR COLLEGE","CO","Public",4427476,"1112"
"248","UNIVERSITY OF COLORADO BOULDER","CO","Public",19258439,"1112"
"249","UNIVERSITY OF DENVER","CO","Private-Nonprofit",4418558,"1112"
"250","WESTERN STATE COLORADO UNIVERSITY","CO","Public",2513457,"1112"
"251","ALBERTUS MAGNUS COLLEGE","CT","Private-Nonprofit",3012041,"1112"
"252","CENTRAL CONNECTICUT STATE UNIVERSITY","CT","Public",12126186,"1112"
"253","CONNECTICUT COLLEGE","CT","Private-Nonprofit",1015350,"1112"
"254","WESTERN CONNECTICUT STATE UNIVERSITY","CT","Public",6292087,"1112"
"255","FAIRFIELD UNIVERSITY","CT","Private-Nonprofit",2408062,"1112"
"256","HOLY APOSTLES COLLEGE & SEMINARY","CT","Private-Nonprofit",32408,"1112"
"257","MANCHESTER COMMUNITY COLLEGE","CT","Public",9061551.6,"1112"
"258","MITCHELL COLLEGE","CT","Private-Nonprofit",1446843,"1112"
"259","UNIVERSITY OF NEW HAVEN","CT","Private-Nonprofit",4975583,"1112"
"260","NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE","CT","Public",1746929.13,"1112"
"261","NORWALK COMMUNITY COLLEGE","CT","Public",7372203.35,"1112"
"262","POST UNIVERSITY","CT","Proprietary",13121714,"1112"
"263","QUINNIPIAC UNIVERSITY","CT","Private-Nonprofit",3303798,"1112"
"264","SACRED HEART UNIVERSITY","CT","Private-Nonprofit",3018140,"1112"
"265","SOUTHERN CONNECTICUT STATE UNIVERSITY","CT","Public",11817224.6,"1112"
"266","UNIVERSITY OF SAINT JOSEPH","CT","Private-Nonprofit",1797378,"1112"
"267","TRINITY COLLEGE","CT","Private-Nonprofit",1464508,"1112"
"268","UNIVERSITY OF BRIDGEPORT","CT","Private-Nonprofit",4847080.63,"1112"
"269","UNIVERSITY OF CONNECTICUT","CT","Public",21210880,"1112"
"270","UNIVERSITY OF HARTFORD","CT","Private-Nonprofit",5500346.33,"1112"
"271","WESLEYAN UNIVERSITY","CT","Private-Nonprofit",2328459,"1112"
"272","EASTERN CONNECTICUT STATE UNIVERSITY","CT","Public",5290604,"1112"
"273","YALE UNIVERSITY","CT","Private-Nonprofit",3098557.3,"1112"
"274","DELAWARE STATE UNIVERSITY","DE","Public",9019929.68,"1112"
"275","GOLDEY-BEACOM COLLEGE","DE","Private-Nonprofit",982326,"1112"
"276","UNIVERSITY OF DELAWARE","DE","Public",8404515.5,"1112"
"277","WESLEY COLLEGE","DE","Private-Nonprofit",3149863.63,"1112"
"278","AMERICAN UNIVERSITY","DC","Private-Nonprofit",4687911.94,"1112"
"279","CAPITOL COLLEGE","MD","Private-Nonprofit",585297,"1112"
"280","CATHOLIC UNIVERSITY OF AMERICA","DC","Private-Nonprofit",1887016,"1112"
"281","UNIVERSITY OF THE DISTRICT OF COLUMBIA","DC","Public",9202644,"1112"
"282","GALLAUDET UNIVERSITY","DC","Private-Nonprofit",2621470,"1112"
"283","GEORGE WASHINGTON UNIVERSITY","DC","Private-Nonprofit",6039128.96,"1112"
"284","GEORGETOWN UNIVERSITY","DC","Private-Nonprofit",4278805.13,"1112"
"285","HOWARD UNIVERSITY","DC","Private-Nonprofit",14167419,"1112"
"286","STRAYER UNIVERSITY","DC","Proprietary",87580551.38,"1112"
"287","TRINITY COLLEGE","DC","Private-Nonprofit",5059612,"1112"
"288","WASHINGTON BIBLE COLLEGE","MD","Private-Nonprofit",439708.16,"1112"
"289","BARRY UNIVERSITY","FL","Private-Nonprofit",11423696.86,"1112"
"290","BETHUNE COOKMAN UNIVERSITY","FL","Private-Nonprofit",13351188,"1112"
"291","SAINT THOMAS UNIVERSITY","FL","Private-Nonprofit",2733068,"1112"
"292","FLORIDA INSTITUTE OF TECHNOLOGY","FL","Private-Nonprofit",11803274.73,"1112"
"293","EASTERN FLORIDA STATE COLLEGE","FL","Public",26308939.96,"1112"
"294","COLLEGE OF CENTRAL FLORIDA","FL","Public",20841307,"1112"
"295","CHIPOLA COLLEGE","FL","Public",4029736.18,"1112"
"296","CLEARWATER CHRISTIAN COLLEGE","FL","Private-Nonprofit",1079955,"1112"
"297","DAYTONA STATE COLLEGE","FL","Public",33983100.17,"1112"
"298","EDISON STATE COLLEGE","FL","Public",28106067,"1112"
"299","EDWARD WATERS COLLEGE","FL","Private-Nonprofit",3356395,"1112"
"300","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","FL","Private-Nonprofit",12714986.51,"1112"
"301","FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY","FL","Public",31067361,"1112"
"302","FLORIDA ATLANTIC UNIVERSITY","FL","Public",41582353,"1112"
"303","FLORIDA COLLEGE","FL","Private-Nonprofit",734375.5,"1112"
"304","FLORIDA STATE COLLEGE AT JACKSONVILLE","FL","Public",52911972.01,"1112"
"305","FLORIDA KEYS COMMUNITY COLLEGE","FL","Public",1597709,"1112"
"306","FLORIDA MEMORIAL UNIVERSITY","FL","Private-Nonprofit",7020624,"1112"
"307","ECKERD COLLEGE","FL","Private-Nonprofit",2491491.67,"1112"
"308","FLORIDA SOUTHERN COLLEGE","FL","Private-Nonprofit",3028364,"1112"
"309","FLORIDA STATE UNIVERSITY","FL","Public",44014877.37,"1112"
"310","GULF COAST STATE COLLEGE","FL","Public",11000304.58,"1112"
"311","INDIAN RIVER STATE COLLEGE","FL","Public",28602591.43,"1112"
"312","JACKSONVILLE UNIVERSITY","FL","Private-Nonprofit",4672598.06,"1112"
"313","JONES COLLEGE","FL","Private-Nonprofit",2314568,"1112"
"314","EVEREST UNIVERSITY","FL","Proprietary",187901352.69,"1112"
"315","BROWARD COLLEGE","FL","Public",90503645.98,"1112"
"316","FLORIDA GATEWAY COLLEGE","FL","Public",6073852.29,"1112"
"317","LAKE SUMTER STATE COLLEGE","FL","Public",5637196.77,"1112"
"318","STATE COLLEGE OF FLORIDA, MANATEE-SARASOTA","FL","Public",21396520,"1112"
"319","LYNN UNIVERSITY","FL","Private-Nonprofit",1504496,"1112"
"320","MIAMI DADE COLLEGE","FL","Public",172014789.12,"1112"
"321","NORTH FLORIDA COMMUNITY COLLEGE","FL","Public",2924895.64,"1112"
"322","NOVA SOUTHEASTERN UNIVERSITY-DAVIE","FL","Private-Nonprofit",13668353.9,"1112"
"323","NORTHWEST FLORIDA STATE COLLEGE","FL","Public",9443714,"1112"
"324","PALM BEACH STATE COLLEGE","FL","Public",47131505.13,"1112"
"325","PENSACOLA STATE COLLEGE","FL","Public",19705837.04,"1112"
"326","POLK STATE COLLEGE","FL","Public",20900740.77,"1112"
"327","ROLLINS COLLEGE","FL","Private-Nonprofit",3521704,"1112"
"328","SANTA FE COLLEGE","FL","Public",25384593.23,"1112"
"329","SEMINOLE STATE COLLEGE OF FLORIDA","FL","Public",41687046,"1112"
"330","SOUTHEASTERN UNIVERSITY","FL","Private-Nonprofit",4167450,"1112"
"331","SOUTH FLORIDA STATE COLLEGE","FL","Public",5097535.94,"1112"
"332","SAINT JOHNS RIVER STATE COLLEGE","FL","Public",12141469.1,"1112"
"333","SAINT LEO UNIVERSITY","FL","Private-Nonprofit",27780094.17,"1112"
"334","ST. PETERSBURG COLLEGE","FL","Public",55031140.21,"1112"
"335","STETSON UNIVERSITY","FL","Private-Nonprofit",3791030.69,"1112"
"336","TALLAHASSEE COMMUNITY COLLEGE","FL","Public",30463913.73,"1112"
"337","UNIVERSITY OF FLORIDA","FL","Public",46817304.06,"1112"
"338","UNIVERSITY OF MIAMI","FL","Private-Nonprofit",9708221,"1112"
"339","UNIVERSITY OF SOUTH FLORIDA","FL","Public",64225067.47,"1112"
"340","UNIVERSITY OF TAMPA (THE)","FL","Private-Nonprofit",6571387.87,"1112"
